id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43996148,"Charmantes, helles Zimmer mit Balkon sehr zentral",38447037,Elke,,Maxvorstadt,48.151,11.56319,Private room,55,3,0,,,1,180
44001217,Nette Wohnung München,31157201,Érika,,Bogenhausen,48.13865,11.61193,Entire home/apt,80,10,1,2020-10-13,0.11,2,44
44022460,3 Monate apartment mit balkon,352831208,Erna,,Obergiesing,48.11706,11.57977,Entire home/apt,30,80,0,,,1,88
44023117,München Zuhause,7469646,Daniel,,Ludwigsvorstadt-Isarvorstadt,48.12921,11.57926,Entire home/apt,90,28,0,,,2,182
44029736,München Home with a View,352892728,Pullman Munich,,Schwabing-Freimann,48.17289,11.59467,Private room,95,1,1,2021-06-13,1,1,233
44033491,Gemütliches Zimmer in Bestlage,216887639,Giuseppe,,Bogenhausen,48.1443,11.61768,Private room,45,1,0,,,1,86
44038506,Best location in Munich,117077587,Chad,,Altstadt-Lehel,48.14721,11.59419,Entire home/apt,85,7,1,2020-08-16,0.09,1,8
44038765,Oase in München/ Schwabing,121738221,Angela,,Schwabing-West,48.16426,11.5582,Entire home/apt,100,2,1,2021-05-29,0.91,1,128
44040435,Renovierte Altbauwohnung mit Balkon in Toplage,65888141,Gina,,Schwabing-West,48.16313,11.57452,Entire home/apt,97,10,11,2020-10-01,0.92,1,23
44055612,Munic – in the heart of famous Schwabing,45765207,Karlheinz,,Schwabing-West,48.16345,11.57847,Entire home/apt,75,2,7,2021-02-14,0.65,1,0
44056808,"Untere Weidenstraße (Kolumbusplatz, Glockenbach)",67600119,Luis,,Untergiesing-Harlaching,48.11826,11.5706,Private room,35,1,0,,,1,90
44058922,Sweet Home,353217895,Simone,,Bogenhausen,48.15149,11.60543,Entire home/apt,88,1,8,2020-10-16,0.77,1,80
44059933,Studio apartment for 1 person or Couple,151263304,Madan,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09582,11.49647,Entire home/apt,25,30,2,2020-08-29,0.18,1,0
44078561,München tolle Wohnung mit Aussicht im Asamhof,115275576,Monica,,Altstadt-Lehel,48.13436,11.57131,Entire home/apt,140,2,0,,,2,0
44079321,1-Zimmer-Wohnung im Herzen Münchens,181058685,Philipp,,Ludwigsvorstadt-Isarvorstadt,48.12729,11.57312,Entire home/apt,45,3,0,,,1,0
44080484,Neubau Appartment mit Klimaanlage,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11165,11.61676,Entire home/apt,64,25,1,2020-08-15,0.09,33,93
44081028,Modernes Neubau Appartment 1,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11245,11.61594,Entire home/apt,64,25,6,2020-08-16,0.55,33,84
44081860,Zimmer in München - Zuhause mit Aussicht,115275576,Monica,,Altstadt-Lehel,48.13529,11.57013,Private room,64,2,2,2020-08-14,0.18,2,0
44091977,Zimmer nähe zum Olympia Park,94664616,Francine,,Moosach,48.18583,11.52779,Private room,29,1,0,,,3,361
44093954,"Dreamland, Downtown – Munich",110943565,Franz,,Schwabing-Freimann,48.15778,11.58292,Entire home/apt,50,2,17,2021-06-15,1.53,1,4
